locus_tag	ftype	length_bp	gene	EC_number	COG	product
prokka_00001	CDS	1044	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
prokka_00002	CDS	1434	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
prokka_00003	CDS	624				hypothetical protein
prokka_00004	CDS	792	oleB_1	4.1.1.114	COG0596	Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase
prokka_00005	CDS	612				hypothetical protein
prokka_00006	CDS	888	bla_1	3.5.2.6		Beta-lactamase Toho-1
prokka_00007	CDS	1398	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
prokka_00008	CDS	1227	entS_1			Enterobactin exporter EntS
prokka_00009	CDS	534	mprA_1		COG1846	Transcriptional repressor MprA
prokka_00010	CDS	1422	ttgC		COG1538	putative efflux pump outer membrane protein TtgC
prokka_00011	CDS	1176	emrA_1		COG1566	Multidrug export protein EmrA
prokka_00012	CDS	1563	farB_1			Fatty acid resistance protein FarB
prokka_00013	CDS	1209				hypothetical protein
prokka_00014	CDS	1383				hypothetical protein
prokka_00015	CDS	909		3.5.2.6		Metallo-beta-lactamase L1 type 3
prokka_00016	CDS	831	purL_1	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
prokka_00017	CDS	570				hypothetical protein
prokka_00018	CDS	909				hypothetical protein
prokka_00019	CDS	492				hypothetical protein
prokka_00020	CDS	1044	gnl_1	3.1.1.17		Gluconolactonase
prokka_00021	CDS	765	gph_1	3.1.3.18		Phosphoglycolate phosphatase
prokka_00022	CDS	579				hypothetical protein
prokka_00023	CDS	540				hypothetical protein
prokka_00024	CDS	591				hypothetical protein
prokka_00025	CDS	1299				Folate-biopterin transporter
prokka_00026	CDS	696				hypothetical protein
prokka_00027	CDS	285				hypothetical protein
prokka_00028	CDS	822	des	1.14.19.-	COG3239	Fatty acid desaturase
prokka_00029	CDS	981		3.5.2.6		Metallo-beta-lactamase L1 type 3
prokka_00030	CDS	684				hypothetical protein
prokka_00031	CDS	663	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
prokka_00032	CDS	366				hypothetical protein
prokka_00033	CDS	378				hypothetical protein
prokka_00034	CDS	471				hypothetical protein
prokka_00035	CDS	288				hypothetical protein
prokka_00036	CDS	174				hypothetical protein
prokka_00037	CDS	399				hypothetical protein
prokka_00038	CDS	471				hypothetical protein
prokka_00039	CDS	1197				hypothetical protein
prokka_00040	CDS	1500				hypothetical protein
prokka_00041	CDS	531				hypothetical protein
prokka_00042	CDS	471				hypothetical protein
prokka_00043	CDS	558	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
prokka_00044	CDS	1308	yhjE_1			Inner membrane metabolite transport protein YhjE
prokka_00045	CDS	390				hypothetical protein
prokka_00046	CDS	1221	entS_2			Enterobactin exporter EntS
prokka_00047	CDS	702	yhhW_1	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
prokka_00048	CDS	939	argP			HTH-type transcriptional regulator ArgP
prokka_00049	CDS	1242	yliI_1	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
prokka_00050	CDS	1137	ada_1		COG0350	Bifunctional transcriptional activator/DNA repair enzyme Ada
prokka_00051	CDS	363				hypothetical protein
prokka_00052	CDS	2214	dapb1	3.4.14.-		Dipeptidyl aminopeptidase BI
prokka_00053	CDS	720	baeR_1		COG0745	Transcriptional regulatory protein BaeR
prokka_00054	CDS	1632	baeS	2.7.13.3	COG0642	Signal transduction histidine-protein kinase BaeS
prokka_00055	CDS	1566	mdtA_1			Multidrug resistance protein MdtA
prokka_00056	CDS	1998	macB_1	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
prokka_00057	CDS	1431	oprM_1		COG1538	Outer membrane protein OprM
prokka_00058	CDS	840				hypothetical protein
prokka_00059	CDS	537	ppa_1	3.6.1.1	COG0221	Inorganic pyrophosphatase
prokka_00060	CDS	1329	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
prokka_00061	CDS	546				hypothetical protein
prokka_00062	CDS	1302	mdtA_2			Multidrug resistance protein MdtA
prokka_00063	CDS	465				hypothetical protein
prokka_00064	CDS	603				hypothetical protein
prokka_00065	CDS	1443				hypothetical protein
prokka_00066	CDS	858				hypothetical protein
prokka_00067	CDS	1392	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
prokka_00068	CDS	924	yadG_1		COG1131	putative ABC transporter ATP-binding protein YadG
prokka_00069	CDS	762	yadH_1		COG0842	Inner membrane transport permease YadH
prokka_00070	CDS	408				hypothetical protein
prokka_00071	CDS	843				hypothetical protein
prokka_00072	CDS	1785	urdA_1	1.3.99.33	COG1053	Urocanate reductase
prokka_00073	CDS	768				hypothetical protein
prokka_00074	CDS	1332				hypothetical protein
prokka_00075	CDS	906	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
prokka_00076	CDS	1035				hypothetical protein
prokka_00077	CDS	396				hypothetical protein
prokka_00078	CDS	1128		6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
prokka_00079	CDS	2646	pepN_1	3.4.11.2	COG0308	Aminopeptidase N
prokka_00080	CDS	1050	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
prokka_00081	CDS	1110				hypothetical protein
prokka_00082	CDS	528				hypothetical protein
prokka_00083	CDS	885	cobA_1	2.1.1.107		Uroporphyrinogen-III C-methyltransferase
prokka_00084	CDS	522				hypothetical protein
prokka_00085	CDS	561				hypothetical protein
prokka_00086	CDS	1497	algC_1	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
prokka_00087	CDS	999	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
prokka_00088	CDS	183				hypothetical protein
prokka_00089	CDS	273				hypothetical protein
prokka_00090	CDS	198				hypothetical protein
prokka_00091	CDS	141				hypothetical protein
prokka_00092	CDS	174				hypothetical protein
prokka_00093	CDS	696		1.8.3.7	COG1262	Formylglycine-generating enzyme
prokka_00094	CDS	2298				hypothetical protein
prokka_00095	CDS	1143				hypothetical protein
prokka_00096	CDS	822	nhoA	2.3.1.5	COG2162	Arylamine N-acetyltransferase
prokka_00097	CDS	1425				hypothetical protein
prokka_00098	CDS	231				hypothetical protein
prokka_00099	CDS	219				hypothetical protein
prokka_00100	CDS	2265	bamB_1			Outer membrane protein assembly factor BamB
prokka_00101	CDS	789	msrP_1	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
prokka_00102	CDS	756				hypothetical protein
prokka_00103	CDS	411				hypothetical protein
prokka_00104	CDS	504				hypothetical protein
